sl_key|value,static_label_category|value,feature_name|value,screen_list|value,sl_value_en|value,sl_value_ta|value,sl_value_hi|value,sl_value_as|value,sl_value_bn|value,sl_value_kn|value,sl_value_ml|value,sl_value_mr|value,sl_value_or|value,sl_value_te|value,sl_value_pa|value,sl_value_gu|value
﻿lbl_continue,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen",Continue,,,,,,,,,,,
LD1002,"Vehicle Finance","Passenger vehicle","passenger vehicle pan validation","Invalid Pincode",,,,,,,,,,,
KYC1008,"Vehicle Finance","Passenger vehicle","passenger vehicle kyc via aadhaar","Invalid OTP",,,,,,,,,,,
lbl_marital_status,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Marital Status",,,,,,,,,,,
lbl_select_existing,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Select existing",,,,,,,,,,,
lbl_same_address_permanent,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","Communication address is the same as permanent address",,,,,,,,,,,
lbl_pv_stepper_step_four_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","View and download your loan application acknowledgment.",,,,,,,,,,,
lbl_pv_stepper_overlay_step_four_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","View and download your loan application acknowledgement.",,,,,,,,,,,
lbl_pv_EstimatedPrice,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen","₹ 11,07,200.00",,,,,,,,,,,
pv_lbl_insured_name,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Insured’s name",,,,,,,,,,,
pv_lbl_insured_date_of_birth,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Insured’s date of birth",,,,,,,,,,,
pv_lbl_insured_relation_with_applicant,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Insured’s relation with applicant",,,,,,,,,,,
lbl_pv_fi_thank_you_screen_document_list_title,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Please be ready with the documents listed below for our field agent:",,,,,,,,,,,
lbl_vl_vkyc_tnc_read_through_text,"Vehicle Finance","Passenger vehicle","passenger vehicle_liveliness vkyc screen","I’ve read through and accept the",,,,,,,,,,,
pv_dob,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Date of birth",,,,,,,,,,,
lbl_add_as,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Add as",,,,,,,,,,,
lbl_pv_offer_update_text,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen",Update,,,,,,,,,,,
cta_pv_fi_add_detail_screen_btm_cancel_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen",Cancel,,,,,,,,,,,
pv_tenure,"Vehicle Finance","Passenger vehicle","passenger vehicle offer review screen",Tenure,,,,,,,,,,,
pv_back_subtitle,"Vehicle Finance","Passenger vehicle","passenger vehicle - back screen","Your application will be saved. You can return and complete it anytime.",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_btm_relation_with_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Relationship with referrer",,,,,,,,,,,
pv_pending_action,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Pending Action",,,,,,,,,,,
pv_lbl_insured_details,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Insured Details",,,,,,,,,,,
pv_selected_car,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Selected car",,,,,,,,,,,
lbl_mndt_fi_additional_detail_screen_header,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","Almost done! Last few details needed to complete the process",,,,,,,,,,,
lbl_pv_stepper_overlay_step_three_title,"Vehicle Finance","Passenger vehicle","passenger vehicle get started screen","Your profile",,,,,,,,,,,
pv_income_details,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Income details",,,,,,,,,,,
pv_annual_income,"Vehicle Finance","Passenger vehicle","passenger vehicle personal employment details screen","Annual income",,,,,,,,,,,
lbl_pv_flat,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","Flat/ House/ Building Name",,,,,,,,,,,
pv_health_insurance,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Health insurance",,,,,,,,,,,
err_msg_pv_same_pan,"Vehicle Finance","Passenger vehicle","passenger vehicle_new car loan_add co applicant gaurantor screen","Same PAN can not be used for Co-Applicant and Gaurantor",,,,,,,,,,,
lbl_pv_fi_add_detail_screen_btm_sheet_name_txt,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen",Name,,,,,,,,,,,
lbl_pv_fi_thank_you_screen_app_status_title,"Vehicle Finance","Passenger vehicle","passenger vehicle field_investigation_screen","We have submitted your application. Our executive will get in touch with you to discuss the offer.",,,,,,,,,,,
lbl_pv_permanant_address,"Vehicle Finance","Passenger vehicle","passenger vehicle_existing_customer screen","Permanent Address",,,,,,,,,,,
pv_add_on_funding,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Add on funding",,,,,,,,,,,
lbl_upload_income_proof,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen","Income proof",,,,,,,,,,,
pv_communication_address,"Vehicle Finance","Passenger vehicle","passenger vehicle_loan detail review","Communication address",,,,,,,,,,,
msg_pv_pan_fail_thankyou,"Vehicle Finance","Passenger vehicle","passenger vehicle_pan_fail_thankyou screen","We were not able to authenticate you online. We have submitted your response to our executive who will get in touch with you for next steps",,,,,,,,,,,
cta_pv_insurance_edit_screen_continue,"Vehicle Finance","Passenger vehicle","passenger vehicle_insurance screen",Continue,,,,,,,,,,,
lbl_pl_vkyc_video_ref_desc,"Vehicle Finance","Passenger vehicle",,"Lorem ipsum",,,,,,,,,,,
lbl_pv_commercial_radiobutton,"Vehicle Finance","Passenger vehicle","passenger vehicle offer car detail screen",Commercial,,,,,,,,,,,
pv_add_mas_insurance_title,"Vehicle Finance","Passenger vehicle","passenger vehicle_mas insurance screen","Mahindra Aarogya Surakhsa Insurance",,,,,,,,,,,
